"","airport","time","summary","precipIntensity","precipProbability","temperature","apparentTemperature","dewPoint","humidity","pressure","windSpeed","windGust","windBearing","cloudCover","uvIndex","visibility","ozone","precipType","precipAccumulation","time2"
"1","Highland",2019-11-30 00:00:00,"Overcast",0,0,37.3,32.11,32.47,0.82,1019.58,6.7,8.06,141.090119887795,1,0,10,309.69,"",NA,2019-11-30 00:00:00
"2","Highland",2019-11-30 01:00:00,"Possible Drizzle",0.0018,0.35,37.74,33.16,32.1,0.8,1018.31,5.77,7.58,110.00381536661,0.95,0,10,309.09,"rain",NA,2019-11-30 01:00:00
"3","Highland",2019-11-30 02:00:00,"Possible Drizzle",0.0062,0.54,37.6,31.13,32.41,0.83,1017.91,8.04,8.57,112.053620204003,1,0,10,308.7,"rain",NA,2019-11-30 02:00:00
"4","Highland",2019-11-30 03:00:00,"Light Rain",0.0135,0.71,36.6,29.78,31.76,0.83,1016.64,8.9,9.84,103.033219769851,1,0,10,309.4,"rain",NA,2019-11-30 03:00:00
"5","Highland",2019-11-30 04:00:00,"Overcast",7e-04,0.06,36.65,31.12,32.41,0.85,1017.49,6.95,8.95,104.085208661893,1,0,10,311.82,"rain",NA,2019-11-30 04:00:00
"6","Highland",2019-11-30 05:00:00,"Overcast",0.001,0.1,37.25,30.79,32.81,0.85,1015.97,8.45,10.48,94.0159662396722,1,0,9.49,314.95,"rain",NA,2019-11-30 05:00:00
"7","Highland",2019-11-30 06:00:00,"Overcast",0,0,37.22,30.63,32.46,0.84,1015.88,9.23,10.08,89.0337216657109,1,0,9.422,318.35,"",NA,2019-11-30 06:00:00
"8","Highland",2019-11-30 07:00:00,"Overcast",0,0,36.98,28.49,32.46,0.83,1015.09,13.08,12.91,99.0333796394629,1,0,7.213,324.27,"",NA,2019-11-30 07:00:00
"9","Highland",2019-11-30 08:00:00,"Overcast",0,0,36.08,27.36,32.39,0.87,1014.37,13.18,21.81,94.0245163352518,0.93,0,5.829,329.27,"",NA,2019-11-30 08:00:00
"10","Highland",2019-11-30 09:00:00,"Overcast",4e-04,0.04,35.96,27.49,32.14,0.86,1014.14,12.27,13.34,96.0001670553579,1,0,7.558,333.03,"rain",NA,2019-11-30 09:00:00
